CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,2,0.0,1,2,1,12,Hibernating
12347.0,2,7,4310.0,5,4,5,54,Champions
12348.0,75,4,1797.24,2,3,4,23,At_risk
12349.0,18,1,1757.55,4,1,4,41,Promising
12350.0,310,1,334.40000000000003,1,1,2,11,Hibernating
12352.0,36,11,1545.41,3,5,4,35,Loyal_customers
12353.0,204,1,89.0,1,1,1,11,Hibernating
12354.0,232,1,1079.4,1,1,4,11,Hibernating
12355.0,214,1,459.40000000000003,1,1,2,11,Hibernating
12356.0,22,3,2811.43,4,3,5,43,Potential_loyalists
12357.0,33,1,6207.67,3,1,5,31,About_to_sleep
12358.0,1,2,1168.06,5,2,4,52,Potential_loyalists
12359.0,7,6,6182.9800000000005,5,4,5,54,Champions
12360.0,52,3,2662.06,3,3,5,33,Need_attention
12361.0,287,1,189.9,1,1,1,11,Hibernating
12362.0,3,13,5154.58,5,5,5,55,Champions
12363.0,109,2,552.0,2,2,3,22,Hibernating
12364.0,7,4,1313.1,5,3,4,53,Potential_loyalists
12365.0,291,3,320.69,1,3,2,13,At_risk
12367.0,4,1,168.9,5,1,1,51,New_customers
12370.0,51,4,3541.94,3,3,5,33,Need_attention
12371.0,44,2,1887.96,3,2,4,32,About_to_sleep
12372.0,71,3,1298.04,3,3,4,33,Need_attention
12373.0,311,1,364.6,1,1,2,11,Hibernating
12374.0,25,1,742.9300000000001,4,1,3,41,Promising
12375.0,2,3,455.42,5,3,2,53,Potential_loyalists
12377.0,315,2,1628.1200000000001,1,2,4,12,Hibernating
12378.0,129,1,4008.62,2,1,5,21,Hibernating
12379.0,81,3,850.29,2,3,3,23,At_risk
12380.0,21,5,2720.56,4,4,5,44,Loyal_customers
12381.0,4,6,1803.96,5,4,4,54,Champions
12383.0,184,6,1839.31,1,4,4,14,At_risk
12384.0,28,3,566.16,4,3,3,43,Potential_loyalists
12386.0,337,2,401.9,1,2,2,12,Hibernating
12388.0,15,6,2780.6600000000003,4,4,5,44,Loyal_customers
12390.0,79,1,549.84,2,1,3,21,Hibernating
12391.0,21,1,439.66,4,1,2,41,Promising
12393.0,72,4,1582.6000000000001,2,4,4,24,At_risk
12394.0,63,2,1272.48,3,2,4,32,About_to_sleep
12395.0,15,15,2998.28,4,5,5,45,Loyal_customers
12397.0,35,2,2409.9,3,2,5,32,About_to_sleep
12398.0,45,1,1635.6599999999999,3,1,4,31,About_to_sleep
12399.0,119,4,1108.65,2,4,4,24,At_risk
12401.0,303,1,84.3,1,1,1,11,Hibernating
12402.0,323,1,225.60000000000002,1,1,1,11,Hibernating
12403.0,49,2,409.7,3,2,2,32,About_to_sleep
12405.0,148,1,1710.39,2,1,4,21,Hibernating
12406.0,22,3,3280.75,4,3,5,43,Potential_loyalists
12407.0,49,5,1708.12,3,4,4,34,Loyal_customers
12408.0,32,9,2842.57,3,5,5,35,Loyal_customers
12409.0,78,7,11056.93,2,4,5,24,At_risk
12410.0,301,3,681.08,1,3,3,13,At_risk
12412.0,74,3,1226.88,2,3,4,23,At_risk
12413.0,66,5,694.15,3,4,3,34,Loyal_customers
12414.0,217,3,562.4100000000001,1,3,3,13,At_risk
12415.0,24,26,123725.45,4,5,5,45,Loyal_customers
12417.0,3,12,3578.8,5,5,5,55,Champions
12418.0,112,1,668.58,2,1,3,21,Hibernating
12420.0,63,1,600.39,3,1,3,31,About_to_sleep
12421.0,15,5,806.27,4,4,3,44,Loyal_customers
